1-1-1,36.81,1.82,27.82
1-1-4,35.02,1.92,29.24
1-1-16,35.96,1.87,28.48
1-4-1,40.54,1.66,25.26
1-4-4,40.41,1.66,25.34
1-4-16,38.38,1.75,26.68
1-16-1,102.39,0.66,10.00
1-16-4,106.28,0.63,9.63
1-16-16,104.32,0.64,9.82
4-1-1,29.09,2.31,35.20
4-1-4,29.59,2.27,34.60
4-1-16,28.54,2.35,35.88
4-4-1,33.73,1.99,30.36
4-4-4,32.68,2.05,31.34
4-4-16,32.92,2.04,31.10
4-16-1,97.43,0.69,10.51
4-16-4,99.74,0.67,10.27
4-16-16,97.03,0.69,10.55
16-1-1,27.19,2.47,37.66
16-1-4,28.29,2.37,36.19
16-1-16,27.77,2.42,36.88
16-4-1,31.87,2.11,32.13
16-4-4,31.04,2.16,32.99
16-4-16,31.13,2.16,32.90
16-16-1,95.71,0.70,10.70
16-16-4,97.81,0.69,10.47
16-16-16,96.48,0.70,10.61
