Linux 5.15.0-1054-kvm (large-instance-spare) 	04/17/24 	_x86_64_	(24 CPU)

17:55:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:55:48     all   19.01    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   80.45
17:55:49     all   19.00    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   80.38
17:55:50     all   17.49    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   81.97
17:55:51     all   17.21    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   82.50
17:55:52     all   17.38    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   82.20
17:55:53     all   18.38    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   81.08
17:55:54     all   18.44    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   81.02
17:55:55     all   18.16    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   81.22
17:55:56     all   18.59    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   80.87
17:55:57     all   18.54    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   80.83
17:55:58     all   19.20    0.00    0.25    0.00    0.00    0.00    0.00    0.00    0.00   80.55
17:55:59     all   19.56    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   79.86
17:56:00     all   18.93    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   80.44
17:56:01     all   20.04    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   79.50
17:56:02     all   19.62    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   79.83
17:56:03     all   20.12    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   79.38
17:56:04     all   19.95    0.00    0.42    0.04    0.00    0.00    0.00    0.00    0.00   79.59
17:56:05     all   20.94    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   78.69
17:56:06     all   20.97    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.53
17:56:07     all   20.95    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   78.46
17:56:08     all   21.09    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.41
17:56:09     all   20.85    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   78.53
17:56:10     all   21.26    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   78.12
17:56:11     all   21.18    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   78.40
17:56:12     all   20.82    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   78.47
17:56:13     all   19.07    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   80.56
17:56:14     all   21.60    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   78.02
17:56:15     all   21.04    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   78.37
17:56:16     all   21.38    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   78.20
17:56:17     all   21.25    0.00    0.42    0.00    0.00    0.04    0.00    0.00    0.00   78.29
17:56:18     all   20.66    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   78.67
17:56:19     all   21.12    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   78.42
17:56:20     all   20.78    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.72
17:56:21     all   20.97    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.53
17:56:22     all   21.50    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   77.96
17:56:23     all   21.38    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   78.07
17:56:24     all   21.11    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.39
17:56:25     all   21.33    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   77.92
17:56:26     all   21.06    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   78.48
17:56:27     all   21.91    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   77.68
17:56:28     all   21.38    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   78.08
17:56:29     all   21.45    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   77.92
17:56:30     all   21.29    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   78.37
17:56:31     all   21.21    0.00    0.54    0.00    0.00    0.00    0.04    0.00    0.00   78.20
17:56:32     all   21.30    0.00    0.62    0.00    0.00    0.00    0.04    0.00    0.00   78.04
17:56:33     all   21.52    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   77.98
17:56:34     all   21.91    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   77.46
17:56:35     all   21.80    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   77.74
17:56:36     all   21.35    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.15
17:56:37     all   21.53    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   77.93
17:56:38     all   21.43    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   77.86
17:56:39     all   21.53    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   77.76
17:56:40     all   21.29    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   78.25
17:56:41     all   21.36    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.14
17:56:42     all   21.74    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   77.67
17:56:43     all   21.40    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   78.10
17:56:44     all   21.81    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   77.65
17:56:45     all   21.95    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   77.42
17:56:46     all   22.01    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   77.53
17:56:47     all   21.88    0.00    0.38    0.00    0.00    0.00    0.04    0.00    0.00   77.70
17:56:48     all   21.83    0.00    0.75    0.00    0.00    0.00    0.00    0.00    0.00   77.42
17:56:49     all   22.00    0.00    0.58    0.00    0.00    0.00    0.00    0.00    0.00   77.42
17:56:50     all   21.99    0.00    0.54    0.00    0.00    0.00    0.00    0.00    0.00   77.47
17:56:51     all   21.99    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   77.34
17:56:52     all   21.65    0.00    0.59    0.00    0.00    0.00    0.00    0.00    0.00   77.76
17:56:53     all   21.83    0.00    0.62    0.00    0.00    0.00    0.00    0.00    0.00   77.54
17:56:54     all   21.69    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   77.60
17:56:55     all   22.25    0.00    0.46    0.00    0.00    0.00    0.00    0.00    0.00   77.29
17:56:56     all   21.94    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   77.56
17:56:57     all   21.81    0.00    0.71    0.00    0.00    0.00    0.00    0.00    0.00   77.48
17:56:58     all   20.39    0.00    0.83    0.00    0.00    0.00    0.00    0.00    0.00   78.77
17:56:59     all    0.21    0.00    8.06    0.00    0.00    0.04    0.00    0.00    0.00   91.69
17:57:00     all    0.04    0.00    8.99    0.00    0.00    0.00    0.33    0.00    0.00   90.64
17:57:01     all    0.04    0.00    7.70    0.00    0.00    0.00    0.79    0.00    0.00   91.47
17:57:02     all    0.12    0.00   10.15    0.00    0.00    0.04    0.25    0.00    0.00   89.44
17:57:03     all    0.04    0.00   11.59    0.21    0.00    0.00    0.00    0.00    0.00   88.16
17:57:04     all    0.08    0.00    4.12   17.28    0.00    0.00    0.00    0.00    0.00   78.52
17:57:05     all    0.04    0.00    7.17    6.67    0.00    0.00    0.00    0.00    0.00   86.11
17:57:06     all    0.04    0.00    3.01   10.26    0.00    0.00    0.00    0.00    0.00   86.69
17:57:07     all    0.08    0.00    4.01    9.60    0.00    0.00    0.17    0.00    0.00   86.14
17:57:08     all    0.00    0.00    2.35   10.04    0.00    0.00    2.39    0.00    0.00   85.23
17:57:09     all    0.04    0.00    1.31   10.91    0.00    0.04    2.17    0.00    0.00   85.53
17:57:10     all    0.00    0.00    0.93   11.26    0.00    0.00    3.24    0.00    0.00   84.57
17:57:11     all    0.04    0.00    1.13   10.88    0.00    0.04    4.21    0.00    0.00   83.70
17:57:12     all    0.04    0.00    1.11   11.71    0.00    0.00    2.14    0.00    0.00   85.00
17:57:13     all    0.00    0.00    0.33   12.14    0.00    0.00    0.08    0.00    0.00   87.45
17:57:14     all    0.00    0.00    0.08   12.38    0.00    0.00    0.00    0.00    0.00   87.54
17:57:15     all    0.00    0.00    0.00   12.46    0.00    0.00    0.04    0.00    0.00   87.49
17:57:16     all    0.00    0.00    0.00   12.49    0.00    0.00    0.00    0.00    0.00   87.51
17:57:17     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
17:57:18     all    0.00    0.00    0.00   12.51    0.00    0.00    0.00    0.00    0.00   87.49
17:57:19     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
17:57:20     all    0.00    0.00    0.00   12.49    0.00    0.00    0.00    0.00    0.00   87.51
17:57:21     all    0.00    0.00    0.00   12.49    0.00    0.00    0.08    0.00    0.00   87.43
17:57:22     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
17:57:23     all    0.00    0.00    0.04   12.42    0.00    0.00    0.04    0.00    0.00   87.50
17:57:24     all    0.00    0.00    0.92   11.71    0.00    0.04    0.00    0.00    0.00   87.33
17:57:25     all    0.04    0.00    1.43   11.04    0.00    0.00    0.08    0.00    0.00   87.41
17:57:26     all    0.00    0.00    4.02    8.54    0.00    0.00    0.00    0.00    0.00   87.44
17:57:27     all    0.04    0.00    9.03    4.16    0.00    0.00    0.04    0.00    0.00   86.72
17:57:28     all    0.08    0.00    5.68    5.03    0.00    0.00    4.05    0.00    0.00   85.17
17:57:29     all    0.00    0.00    1.58    7.26    0.00    0.00    1.78    0.00    0.00   89.37
17:57:30     all    0.04    0.00    0.58    7.53    0.00    0.00    0.67    0.00    0.00   91.18
17:57:31     all    0.00    0.00    0.04    8.11    0.00    0.00    0.00    0.00    0.00   91.85
17:57:32     all    0.00    0.00    0.00   12.04    0.00    0.00    0.08    0.00    0.00   87.88
17:57:33     all    0.00    0.00    0.00   12.48    0.00    0.00    0.08    0.00    0.00   87.43
17:57:34     all    0.00    0.00    0.00   12.51    0.00    0.00    0.00    0.00    0.00   87.49
17:57:35     all    0.00    0.00    0.00   12.49    0.00    0.00    0.00    0.00    0.00   87.51
17:57:36     all    0.00    0.00    0.00   12.51    0.00    0.00    0.00    0.00    0.00   87.49
17:57:37     all    0.00    0.00    0.00   12.46    0.00    0.00    0.00    0.00    0.00   87.54
17:57:38     all    0.00    0.00    0.00   12.52    0.00    0.00    0.00    0.00    0.00   87.48
17:57:39     all    0.00    0.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00   87.50
17:57:40     all    0.00    0.00    0.04   12.66    0.00    0.00    0.00    0.00    0.00   87.30
