NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=230743769088
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 23462842368 bytes
Free Memory: 22641659904 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[1][HASHGEN]: 0.31% completed, ETA 323.1 seconds, 0/512 flushes, 203.3 MB/sec
[2][HASHGEN]: 0.64% completed, ETA 311.0 seconds, 0/512 flushes, 216.6 MB/sec
[3][HASHGEN]: 0.98% completed, ETA 303.1 seconds, 0/512 flushes, 223.6 MB/sec
[4][HASHGEN]: 1.32% completed, ETA 299.7 seconds, 0/512 flushes, 220.7 MB/sec
[5][HASHGEN]: 1.67% completed, ETA 295.9 seconds, 0/512 flushes, 225.9 MB/sec
[6][HASHGEN]: 2.00% completed, ETA 294.0 seconds, 0/512 flushes, 221.6 MB/sec
[7][HASHGEN]: 2.34% completed, ETA 292.4 seconds, 0/512 flushes, 221.4 MB/sec
[8][HASHGEN]: 2.68% completed, ETA 291.1 seconds, 0/512 flushes, 220.7 MB/sec
[9][HASHGEN]: 3.00% completed, ETA 291.2 seconds, 0/512 flushes, 211.7 MB/sec
[10][HASHGEN]: 3.34% completed, ETA 290.2 seconds, 0/512 flushes, 218.4 MB/sec
[11][HASHGEN]: 3.67% completed, ETA 289.4 seconds, 0/512 flushes, 216.8 MB/sec
[12][HASHGEN]: 4.00% completed, ETA 288.1 seconds, 0/512 flushes, 220.4 MB/sec
[13][HASHGEN]: 4.34% completed, ETA 287.1 seconds, 0/512 flushes, 218.4 MB/sec
[14][HASHGEN]: 4.68% completed, ETA 285.3 seconds, 0/512 flushes, 226.7 MB/sec
[15][HASHGEN]: 5.03% completed, ETA 283.6 seconds, 0/512 flushes, 226.6 MB/sec
[16][HASHGEN]: 5.38% completed, ETA 281.8 seconds, 0/512 flushes, 228.7 MB/sec
[17][HASHGEN]: 5.73% completed, ETA 280.3 seconds, 0/512 flushes, 226.8 MB/sec
[18][HASHGEN]: 6.07% completed, ETA 278.8 seconds, 0/512 flushes, 227.5 MB/sec
[19][HASHGEN]: 6.43% completed, ETA 277.1 seconds, 0/512 flushes, 230.7 MB/sec
[20][HASHGEN]: 6.77% completed, ETA 275.7 seconds, 0/512 flushes, 227.5 MB/sec
[21][HASHGEN]: 7.13% completed, ETA 274.0 seconds, 0/512 flushes, 231.2 MB/sec
[22][HASHGEN]: 7.48% completed, ETA 272.4 seconds, 0/512 flushes, 233.4 MB/sec
[23][HASHGEN]: 7.83% completed, ETA 271.0 seconds, 0/512 flushes, 229.3 MB/sec
[24][HASHGEN]: 8.19% completed, ETA 269.3 seconds, 0/512 flushes, 234.7 MB/sec
[25][HASHGEN]: 8.54% completed, ETA 268.0 seconds, 0/512 flushes, 229.0 MB/sec
[26][HASHGEN]: 8.86% completed, ETA 267.9 seconds, 0/512 flushes, 206.2 MB/sec
[27][HASHGEN]: 9.21% completed, ETA 266.4 seconds, 0/512 flushes, 233.4 MB/sec
[28][HASHGEN]: 9.56% completed, ETA 265.1 seconds, 0/512 flushes, 230.2 MB/sec
[29][HASHGEN]: 9.92% completed, ETA 263.6 seconds, 0/512 flushes, 233.6 MB/sec
[30][HASHGEN]: 10.27% completed, ETA 262.4 seconds, 0/512 flushes, 228.6 MB/sec
[31][HASHGEN]: 10.62% completed, ETA 261.2 seconds, 0/512 flushes, 230.0 MB/sec
[32][HASHGEN]: 10.97% completed, ETA 260.1 seconds, 0/512 flushes, 226.2 MB/sec
[33][HASHGEN]: 11.32% completed, ETA 258.9 seconds, 0/512 flushes, 228.4 MB/sec
[34][HASHGEN]: 11.66% completed, ETA 257.9 seconds, 0/512 flushes, 224.4 MB/sec
[35][HASHGEN]: 12.01% completed, ETA 256.7 seconds, 0/512 flushes, 230.9 MB/sec
[36][HASHGEN]: 12.37% completed, ETA 255.3 seconds, 0/512 flushes, 234.4 MB/sec
[37][HASHGEN]: 12.73% completed, ETA 254.0 seconds, 0/512 flushes, 234.5 MB/sec
[38][HASHGEN]: 13.08% completed, ETA 252.9 seconds, 0/512 flushes, 229.3 MB/sec
